family,model,algo,L,N,sweeps,repeat,wall_s,sweeps_per_s,updates_per_s,vmpeak_kb,vmhwm_kb
lattice,heisenberg-honeycomb,metropolis,32,2048,20000,0,2.041373e+00,9.797327e+03,2.006492e+07,13848,8460
lattice,heisenberg-honeycomb,metropolis,32,2048,20000,1,2.021891e+00,9.891728e+03,2.025826e+07,13848,8460
lattice,heisenberg-honeycomb,metropolis,32,2048,20000,2,2.002306e+00,9.988482e+03,2.045641e+07,13848,8460
lattice,heisenberg-honeycomb,over,32,2048,20000,0,1.184016e+00,1.689166e+04,3.459412e+07,13848,8460
lattice,heisenberg-honeycomb,over,32,2048,20000,1,1.219966e+00,1.639391e+04,3.357472e+07,13848,8460
lattice,heisenberg-honeycomb,over,32,2048,20000,2,1.161625e+00,1.721725e+04,3.526094e+07,13848,8460
lattice,heisenberg-honeycomb,met+5over,32,2048,20000,0,7.936743e+00,2.519925e+03,5.160807e+06,13848,8460
lattice,heisenberg-honeycomb,met+5over,32,2048,20000,1,8.019075e+00,2.494053e+03,5.107821e+06,13848,8460
lattice,heisenberg-honeycomb,met+5over,32,2048,20000,2,7.860971e+00,2.544215e+03,5.210552e+06,13848,8460
lattice,heisenberg-honeycomb,wolff,32,2048,5000,0,1.785302e-02,2.800647e+05,5.735725e+08,13848,8460
lattice,heisenberg-honeycomb,wolff,32,2048,5000,1,1.770163e-02,2.824599e+05,5.784778e+08,13848,8460
lattice,heisenberg-honeycomb,wolff,32,2048,5000,2,1.815361e-02,2.754273e+05,5.640750e+08,13848,8460
lattice,heisenberg-honeycomb,swendsen_wang,32,2048,5000,0,4.205410e-01,1.188945e+04,2.434959e+07,13848,8460
lattice,heisenberg-honeycomb,swendsen_wang,32,2048,5000,1,4.217989e-01,1.185399e+04,2.427697e+07,13848,8460
lattice,heisenberg-honeycomb,swendsen_wang,32,2048,5000,2,4.270545e-01,1.170811e+04,2.397820e+07,13848,8460
lattice,kitaev-honeycomb,metropolis,32,2048,20000,0,2.202442e+00,9.080828e+03,1.859754e+07,13920,8736
lattice,kitaev-honeycomb,metropolis,32,2048,20000,1,2.242394e+00,8.919039e+03,1.826619e+07,13920,8736
lattice,kitaev-honeycomb,metropolis,32,2048,20000,2,2.133605e+00,9.373806e+03,1.919756e+07,13920,8736
lattice,kitaev-honeycomb,over,32,2048,20000,0,1.190532e+00,1.679921e+04,3.440478e+07,13920,8736
lattice,kitaev-honeycomb,over,32,2048,20000,1,1.211199e+00,1.651257e+04,3.381774e+07,13920,8736
