family,model,L,N,rhs_calls,repeat,wall_s,rhs_per_s,site_updates_per_s
lattice,heisenberg-honeycomb-su2,32,2048,4000,0,3.955206e-01,1.011325e+04,2.071194e+07
lattice,heisenberg-honeycomb-su2,32,2048,4000,1,3.971685e-01,1.007129e+04,2.062601e+07
lattice,heisenberg-honeycomb-su2,32,2048,4000,2,3.876081e-01,1.031970e+04,2.113475e+07
lattice,kitaev-honeycomb-su2,32,2048,4000,0,3.981913e-01,1.004542e+04,2.057302e+07
lattice,kitaev-honeycomb-su2,32,2048,4000,1,3.927331e-01,1.018503e+04,2.085895e+07
lattice,kitaev-honeycomb-su2,32,2048,4000,2,3.895398e-01,1.026853e+04,2.102994e+07
mixed,tmfeo3-bilinear,4,512,1500,0,6.163256e-01,2.433779e+03,1.246095e+06
mixed,tmfeo3-bilinear,4,512,1500,1,6.191395e-01,2.422717e+03,1.240431e+06
mixed,tmfeo3-bilinear,4,512,1500,2,6.187396e-01,2.424283e+03,1.241233e+06
mixed,tmfeo3-trilinear,4,512,300,0,1.461179e-01,2.053136e+03,1.051206e+06
mixed,tmfeo3-trilinear,4,512,300,1,1.461031e-01,2.053344e+03,1.051312e+06
mixed,tmfeo3-trilinear,4,512,300,2,1.460191e-01,2.054526e+03,1.051917e+06
mixed,tmfeo3-driven,4,512,1500,0,6.296251e-01,2.382370e+03,1.219773e+06
mixed,tmfeo3-driven,4,512,1500,1,6.311326e-01,2.376679e+03,1.216860e+06
mixed,tmfeo3-driven,4,512,1500,2,6.364474e-01,2.356833e+03,1.206698e+06
strain,strain-honeycomb-bilin,24,1152,2000,0,5.779358e-01,3.460592e+03,3.986602e+06
strain,strain-honeycomb-bilin,24,1152,2000,1,5.822497e-01,3.434952e+03,3.957065e+06
strain,strain-honeycomb-bilin,24,1152,2000,2,5.798641e-01,3.449084e+03,3.973345e+06
strain,strain-honeycomb-me,24,1152,1000,0,3.001087e-01,3.332126e+03,3.838610e+06
strain,strain-honeycomb-me,24,1152,1000,1,3.019566e-01,3.311735e+03,3.815118e+06
strain,strain-honeycomb-me,24,1152,1000,2,3.040683e-01,3.288734e+03,3.788622e+06
strain,strain-honeycomb-local,24,1152,500,0,5.475934e-01,9.130863e+02,1.051875e+06
strain,strain-honeycomb-local,24,1152,500,1,5.471974e-01,9.137470e+02,1.052637e+06
strain,strain-honeycomb-local,24,1152,500,2,5.518334e-01,9.060706e+02,1.043793e+06
