family,model,L,N,rhs_calls,repeat,wall_s,rhs_per_s,site_updates_per_s
lattice,heisenberg-honeycomb-su2,32,2048,4000,0,2.221286e-01,1.800758e+04,3.687953e+07
lattice,heisenberg-honeycomb-su2,32,2048,4000,1,2.168267e-01,1.844792e+04,3.778133e+07
lattice,heisenberg-honeycomb-su2,32,2048,4000,2,2.197169e-01,1.820524e+04,3.728434e+07
lattice,kitaev-honeycomb-su2,32,2048,4000,0,2.188301e-01,1.827902e+04,3.743543e+07
lattice,kitaev-honeycomb-su2,32,2048,4000,1,2.178628e-01,1.836018e+04,3.760165e+07
lattice,kitaev-honeycomb-su2,32,2048,4000,2,2.197093e-01,1.820588e+04,3.728563e+07
mixed,tmfeo3-bilinear,4,512,1500,0,4.726109e-01,3.173858e+03,1.625015e+06
mixed,tmfeo3-bilinear,4,512,1500,1,4.613297e-01,3.251471e+03,1.664753e+06
mixed,tmfeo3-bilinear,4,512,1500,2,4.795402e-01,3.127996e+03,1.601534e+06
mixed,tmfeo3-trilinear,4,512,300,0,1.178502e-01,2.545606e+03,1.303350e+06
mixed,tmfeo3-trilinear,4,512,300,1,1.157222e-01,2.592416e+03,1.327317e+06
mixed,tmfeo3-trilinear,4,512,300,2,1.162940e-01,2.579669e+03,1.320790e+06
mixed,tmfeo3-driven,4,512,1500,0,4.729757e-01,3.171410e+03,1.623762e+06
mixed,tmfeo3-driven,4,512,1500,1,4.685673e-01,3.201248e+03,1.639039e+06
mixed,tmfeo3-driven,4,512,1500,2,4.659121e-01,3.219491e+03,1.648379e+06
strain,strain-honeycomb-bilin,24,1152,2000,0,5.854009e-01,3.416462e+03,3.935764e+06
strain,strain-honeycomb-bilin,24,1152,2000,1,5.830590e-01,3.430185e+03,3.951573e+06
strain,strain-honeycomb-bilin,24,1152,2000,2,5.841961e-01,3.423508e+03,3.943881e+06
strain,strain-honeycomb-me,24,1152,1000,0,2.999270e-01,3.334145e+03,3.840935e+06
strain,strain-honeycomb-me,24,1152,1000,1,2.961391e-01,3.376791e+03,3.890063e+06
strain,strain-honeycomb-me,24,1152,1000,2,3.034131e-01,3.295837e+03,3.796804e+06
strain,strain-honeycomb-local,24,1152,500,0,5.370440e-01,9.310224e+02,1.072538e+06
strain,strain-honeycomb-local,24,1152,500,1,5.456174e-01,9.163931e+02,1.055685e+06
strain,strain-honeycomb-local,24,1152,500,2,5.426122e-01,9.214683e+02,1.061532e+06
