family,model,algo,L,N,sweeps,repeat,wall_s,sweeps_per_s,updates_per_s,vmpeak_kb,vmhwm_kb,mode,threads
lattice,heisenberg-honeycomb,metropolis,32,2048,2000,0,2.547612e-01,7.850490e+03,1.607780e+07,13932,8756,parallel,1
lattice,heisenberg-honeycomb,metropolis,32,2048,2000,1,2.461539e-01,8.125000e+03,1.664000e+07,13932,8756,parallel,1
lattice,kitaev-honeycomb,metropolis,32,2048,2000,0,2.597134e-01,7.700795e+03,1.577123e+07,13932,8684,parallel,1
lattice,kitaev-honeycomb,metropolis,32,2048,2000,1,2.539092e-01,7.876833e+03,1.613175e+07,13932,8684,parallel,1
lattice,pyrochlore,metropolis,8,2048,200,0,3.499610e-02,5.714922e+03,1.170416e+07,15596,10388,parallel,1
lattice,pyrochlore,metropolis,8,2048,200,1,3.359781e-02,5.952769e+03,1.219127e+07,15596,10388,parallel,1
lattice,heisenberg-honeycomb,over,32,2048,2000,0,1.413920e-01,1.414507e+04,2.896910e+07,13932,8540,parallel,1
lattice,heisenberg-honeycomb,over,32,2048,2000,1,1.359741e-01,1.470868e+04,3.012338e+07,13932,8540,parallel,1
lattice,kitaev-honeycomb,over,32,2048,2000,0,1.402301e-01,1.426227e+04,2.920913e+07,13932,8536,parallel,1
lattice,kitaev-honeycomb,over,32,2048,2000,1,1.367348e-01,1.462686e+04,2.995580e+07,13932,8536,parallel,1
lattice,pyrochlore,over,8,2048,200,0,2.166151e-02,9.232967e+03,1.890912e+07,15596,10448,parallel,1
lattice,pyrochlore,over,8,2048,200,1,2.122514e-02,9.422790e+03,1.929787e+07,15596,10448,parallel,1
mixed,tmfeo3-bilinear,metropolis,4,512,200,0,1.435266e-01,1.393470e+03,7.134566e+05,19484,14412,parallel,1
mixed,tmfeo3-bilinear,metropolis,4,512,200,1,1.600829e-01,1.249353e+03,6.396687e+05,19484,14412,parallel,1
mixed,tmfeo3-trilinear,metropolis,4,512,50,0,4.669454e-02,1.070789e+03,5.482440e+05,20800,15644,parallel,1
mixed,tmfeo3-trilinear,metropolis,4,512,50,1,4.936124e-02,1.012941e+03,5.186256e+05,20800,15644,parallel,1
strain,strain-honeycomb-bilin,metropolis,24,1152,400,0,1.116865e-01,3.581455e+03,4.125836e+06,12508,7400,parallel,1
strain,strain-honeycomb-bilin,metropolis,24,1152,400,1,1.082702e-01,3.694462e+03,4.256020e+06,12508,7400,parallel,1
strain,strain-honeycomb-me,metropolis,24,1152,100,0,3.135196e-02,3.189593e+03,3.674412e+06,12508,7536,parallel,1
strain,strain-honeycomb-me,metropolis,24,1152,100,1,2.991403e-02,3.342913e+03,3.851036e+06,12508,7536,parallel,1
lattice,heisenberg-honeycomb,metropolis,32,2048,2000,0,1.274340e-01,1.569440e+04,3.214213e+07,22128,8688,parallel,2
lattice,heisenberg-honeycomb,metropolis,32,2048,2000,1,1.265491e-01,1.580415e+04,3.236689e+07,22128,8688,parallel,2
lattice,kitaev-honeycomb,metropolis,32,2048,2000,0,1.274033e-01,1.569818e+04,3.214988e+07,22128,8696,parallel,2
lattice,kitaev-honeycomb,metropolis,32,2048,2000,1,1.299806e-01,1.538691e+04,3.151239e+07,22128,8696,parallel,2
lattice,pyrochlore,metropolis,8,2048,200,0,2.188975e-02,9.136696e+03,1.871195e+07,23792,10392,parallel,2
lattice,pyrochlore,metropolis,8,2048,200,1,1.858557e-02,1.076104e+04,2.203860e+07,23792,10392,parallel,2
lattice,heisenberg-honeycomb,over,32,2048,2000,0,7.257634e-02,2.755719e+04,5.643712e+07,22128,8696,parallel,2
lattice,heisenberg-honeycomb,over,32,2048,2000,1,7.341250e-02,2.724332e+04,5.579431e+07,22128,8696,parallel,2
lattice,kitaev-honeycomb,over,32,2048,2000,0,7.035348e-02,2.842788e+04,5.822029e+07,22128,8764,parallel,2
lattice,kitaev-honeycomb,over,32,2048,2000,1,7.898887e-02,2.532002e+04,5.185541e+07,22128,8764,parallel,2
lattice,pyrochlore,over,8,2048,200,0,1.327048e-02,1.507105e+04,3.086551e+07,23792,10296,parallel,2
lattice,pyrochlore,over,8,2048,200,1,1.267173e-02,1.578317e+04,3.232392e+07,23792,10296,parallel,2
mixed,tmfeo3-bilinear,metropolis,4,512,200,0,7.985957e-02,2.504396e+03,1.282251e+06,158752,14428,parallel,2
mixed,tmfeo3-bilinear,metropolis,4,512,200,1,8.020769e-02,2.493526e+03,1.276686e+06,158752,14428,parallel,2
mixed,tmfeo3-trilinear,metropolis,4,512,50,0,2.844884e-02,1.757541e+03,8.998609e+05,160068,15696,parallel,2
mixed,tmfeo3-trilinear,metropolis,4,512,50,1,2.569041e-02,1.946252e+03,9.964809e+05,160068,15696,parallel,2
strain,strain-honeycomb-bilin,metropolis,24,1152,400,0,6.013887e-02,6.651273e+03,7.662266e+06,151776,7532,parallel,2
