family,model,L,N,rhs_calls,repeat,wall_s,rhs_per_s,site_updates_per_s,threads
lattice,heisenberg-honeycomb-su2,32,2048,4000,0,2.292776e-01,1.744610e+04,3.572962e+07,1
lattice,heisenberg-honeycomb-su2,32,2048,4000,1,2.406574e-01,1.662114e+04,3.404009e+07,1
lattice,kitaev-honeycomb-su2,32,2048,4000,0,2.342496e-01,1.707580e+04,3.497124e+07,1
lattice,kitaev-honeycomb-su2,32,2048,4000,1,2.316953e-01,1.726405e+04,3.535677e+07,1
mixed,tmfeo3-bilinear,4,512,1500,0,5.255531e-01,2.854136e+03,1.461318e+06,1
mixed,tmfeo3-bilinear,4,512,1500,1,5.148150e-01,2.913668e+03,1.491798e+06,1
mixed,tmfeo3-trilinear,4,512,300,0,1.326155e-01,2.262178e+03,1.158235e+06,1
mixed,tmfeo3-trilinear,4,512,300,1,1.413954e-01,2.121709e+03,1.086315e+06,1
mixed,tmfeo3-driven,4,512,1500,0,5.306741e-01,2.826593e+03,1.447216e+06,1
mixed,tmfeo3-driven,4,512,1500,1,5.383775e-01,2.786149e+03,1.426508e+06,1
strain,strain-honeycomb-bilin,24,1152,2000,0,4.191553e-01,4.771502e+03,5.496770e+06,1
strain,strain-honeycomb-bilin,24,1152,2000,1,4.169232e-01,4.797046e+03,5.526197e+06,1
strain,strain-honeycomb-me,24,1152,1000,0,2.297802e-01,4.351985e+03,5.013486e+06,1
strain,strain-honeycomb-me,24,1152,1000,1,2.239366e-01,4.465549e+03,5.144313e+06,1
strain,strain-honeycomb-local,24,1152,500,0,2.644429e-02,1.890768e+04,2.178164e+07,1
strain,strain-honeycomb-local,24,1152,500,1,2.418080e-02,2.067756e+04,2.382055e+07,1
lattice,heisenberg-honeycomb-su2,32,2048,4000,0,1.150679e-01,3.476209e+04,7.119276e+07,2
lattice,heisenberg-honeycomb-su2,32,2048,4000,1,1.101296e-01,3.632085e+04,7.438510e+07,2
lattice,kitaev-honeycomb-su2,32,2048,4000,0,1.146431e-01,3.489089e+04,7.145655e+07,2
lattice,kitaev-honeycomb-su2,32,2048,4000,1,1.201279e-01,3.329785e+04,6.819399e+07,2
mixed,tmfeo3-bilinear,4,512,1500,0,2.649218e-01,5.662049e+03,2.898969e+06,2
mixed,tmfeo3-bilinear,4,512,1500,1,2.743274e-01,5.467920e+03,2.799575e+06,2
mixed,tmfeo3-trilinear,4,512,300,0,6.445359e-02,4.654512e+03,2.383110e+06,2
mixed,tmfeo3-trilinear,4,512,300,1,6.319137e-02,4.747484e+03,2.430712e+06,2
mixed,tmfeo3-driven,4,512,1500,0,2.678760e-01,5.599606e+03,2.866998e+06,2
mixed,tmfeo3-driven,4,512,1500,1,2.669669e-01,5.618674e+03,2.876761e+06,2
