family,model,algo,L,N,sweeps,repeat,wall_s,sweeps_per_s,updates_per_s,vmpeak_kb,vmhwm_kb,threads
lattice,heisenberg-honeycomb,metropolis,32,2048,300,0,3.486468e-02,8.604696e+03,1.762242e+07,13936,8676,1
lattice,heisenberg-honeycomb,metropolis,32,2048,300,1,3.495970e-02,8.581309e+03,1.757452e+07,13936,8676,1
lattice,heisenberg-honeycomb,metropolis,32,2048,300,2,3.574387e-02,8.393048e+03,1.718896e+07,13936,8676,1
lattice,heisenberg-honeycomb,over,32,2048,300,0,1.819517e-02,1.648789e+04,3.376720e+07,13936,8676,1
lattice,heisenberg-honeycomb,over,32,2048,300,1,1.835674e-02,1.634277e+04,3.346999e+07,13936,8676,1
lattice,heisenberg-honeycomb,over,32,2048,300,2,1.833981e-02,1.635786e+04,3.350089e+07,13936,8676,1
lattice,heisenberg-honeycomb,met+5over,32,2048,300,0,1.247809e-01,2.404214e+03,4.923831e+06,13936,8676,1
lattice,heisenberg-honeycomb,met+5over,32,2048,300,1,1.255082e-01,2.390282e+03,4.895298e+06,13936,8676,1
lattice,heisenberg-honeycomb,met+5over,32,2048,300,2,1.263623e-01,2.374127e+03,4.862211e+06,13936,8676,1
lattice,heisenberg-honeycomb,wolff,32,2048,300,0,1.089730e-03,2.752976e+05,5.638094e+08,13936,8676,1
lattice,heisenberg-honeycomb,wolff,32,2048,300,1,1.158851e-03,2.588771e+05,5.301803e+08,13936,8676,1
lattice,heisenberg-honeycomb,wolff,32,2048,300,2,1.087024e-03,2.759829e+05,5.652129e+08,13936,8676,1
lattice,heisenberg-honeycomb,swendsen_wang,32,2048,300,0,2.642545e-02,1.135269e+04,2.325031e+07,14068,8676,1
lattice,heisenberg-honeycomb,swendsen_wang,32,2048,300,1,2.718598e-02,1.103510e+04,2.259988e+07,14068,8676,1
lattice,heisenberg-honeycomb,swendsen_wang,32,2048,300,2,2.683520e-02,1.117935e+04,2.289530e+07,14068,8676,1
lattice,kitaev-honeycomb,metropolis,32,2048,300,0,3.638101e-02,8.246060e+03,1.688793e+07,14068,9196,1
lattice,kitaev-honeycomb,metropolis,32,2048,300,1,3.733294e-02,8.035800e+03,1.645732e+07,14068,9196,1
lattice,kitaev-honeycomb,metropolis,32,2048,300,2,3.745107e-02,8.010452e+03,1.640541e+07,14068,9196,1
