family,model,L,N,rhs_calls,repeat,wall_s,rhs_per_s,site_updates_per_s,threads
lattice,heisenberg-honeycomb-su2,32,2048,4000,0,2.383416e-01,1.678263e+04,3.437083e+07,1
lattice,heisenberg-honeycomb-su2,32,2048,4000,1,2.390757e-01,1.673110e+04,3.426530e+07,1
lattice,heisenberg-honeycomb-su2,32,2048,4000,2,2.415122e-01,1.656231e+04,3.391961e+07,1
lattice,kitaev-honeycomb-su2,32,2048,4000,0,2.425088e-01,1.649425e+04,3.378022e+07,1
lattice,kitaev-honeycomb-su2,32,2048,4000,1,2.435844e-01,1.642141e+04,3.363105e+07,1
lattice,kitaev-honeycomb-su2,32,2048,4000,2,2.413618e-01,1.657263e+04,3.394075e+07,1
mixed,tmfeo3-bilinear,4,512,1500,0,6.004808e-01,2.497998e+03,1.278975e+06,1
mixed,tmfeo3-bilinear,4,512,1500,1,5.607634e-01,2.674925e+03,1.369562e+06,1
mixed,tmfeo3-bilinear,4,512,1500,2,5.492052e-01,2.731220e+03,1.398384e+06,1
mixed,tmfeo3-trilinear,4,512,300,0,1.328743e-01,2.257773e+03,1.155980e+06,1
mixed,tmfeo3-trilinear,4,512,300,1,1.300158e-01,2.307412e+03,1.181395e+06,1
mixed,tmfeo3-trilinear,4,512,300,2,1.393856e-01,2.152303e+03,1.101979e+06,1
mixed,tmfeo3-driven,4,512,1500,0,5.434853e-01,2.759964e+03,1.413102e+06,1
mixed,tmfeo3-driven,4,512,1500,1,5.445550e-01,2.754543e+03,1.410326e+06,1
mixed,tmfeo3-driven,4,512,1500,2,5.437916e-01,2.758410e+03,1.412306e+06,1
strain,strain-honeycomb-bilin,24,1152,2000,0,4.988284e-01,4.009395e+03,4.618823e+06,1
strain,strain-honeycomb-bilin,24,1152,2000,1,4.933167e-01,4.054191e+03,4.670428e+06,1
strain,strain-honeycomb-bilin,24,1152,2000,2,4.976190e-01,4.019139e+03,4.630048e+06,1
strain,strain-honeycomb-me,24,1152,1000,0,2.251151e-01,4.442172e+03,5.117382e+06,1
strain,strain-honeycomb-me,24,1152,1000,1,2.292541e-01,4.361972e+03,5.024992e+06,1
strain,strain-honeycomb-me,24,1152,1000,2,2.245466e-01,4.453418e+03,5.130338e+06,1
strain,strain-honeycomb-local,24,1152,500,0,2.632540e-02,1.899306e+04,2.188001e+07,1
strain,strain-honeycomb-local,24,1152,500,1,2.652450e-02,1.885049e+04,2.171577e+07,1
strain,strain-honeycomb-local,24,1152,500,2,2.649273e-02,1.887311e+04,2.174182e+07,1
lattice,heisenberg-honeycomb-su2,32,2048,4000,0,1.110927e-01,3.600596e+04,7.374020e+07,2
lattice,heisenberg-honeycomb-su2,32,2048,4000,1,1.096756e-01,3.647118e+04,7.469298e+07,2
lattice,heisenberg-honeycomb-su2,32,2048,4000,2,1.109222e-01,3.606131e+04,7.385356e+07,2
lattice,kitaev-honeycomb-su2,32,2048,4000,0,1.114728e-01,3.588318e+04,7.348875e+07,2
lattice,kitaev-honeycomb-su2,32,2048,4000,1,1.121555e-01,3.566476e+04,7.304142e+07,2
lattice,kitaev-honeycomb-su2,32,2048,4000,2,1.106562e-01,3.614801e+04,7.403112e+07,2
mixed,tmfeo3-bilinear,4,512,1500,0,2.864108e-01,5.237232e+03,2.681463e+06,2
mixed,tmfeo3-bilinear,4,512,1500,1,2.728855e-01,5.496811e+03,2.814367e+06,2
mixed,tmfeo3-bilinear,4,512,1500,2,2.702420e-01,5.550581e+03,2.841898e+06,2
mixed,tmfeo3-trilinear,4,512,300,0,6.540179e-02,4.587030e+03,2.348560e+06,2
mixed,tmfeo3-trilinear,4,512,300,1,6.663501e-02,4.502138e+03,2.305095e+06,2
mixed,tmfeo3-trilinear,4,512,300,2,6.631356e-02,4.523961e+03,2.316268e+06,2
mixed,tmfeo3-driven,4,512,1500,0,2.785701e-01,5.384641e+03,2.756936e+06,2
mixed,tmfeo3-driven,4,512,1500,1,2.783597e-01,5.388711e+03,2.759020e+06,2
mixed,tmfeo3-driven,4,512,1500,2,2.892472e-01,5.185876e+03,2.655169e+06,2
strain,strain-honeycomb-bilin,24,1152,2000,0,4.173666e-01,4.791951e+03,5.520327e+06,2
strain,strain-honeycomb-bilin,24,1152,2000,1,4.169970e-01,4.796197e+03,5.525219e+06,2
strain,strain-honeycomb-bilin,24,1152,2000,2,4.123405e-01,4.850360e+03,5.587615e+06,2
strain,strain-honeycomb-me,24,1152,1000,0,2.226871e-01,4.490605e+03,5.173177e+06,2
strain,strain-honeycomb-me,24,1152,1000,1,2.303515e-01,4.341191e+03,5.001052e+06,2
strain,strain-honeycomb-me,24,1152,1000,2,2.213400e-01,4.517935e+03,5.204662e+06,2
strain,strain-honeycomb-local,24,1152,500,0,1.615580e-02,3.094864e+04,3.565283e+07,2
strain,strain-honeycomb-local,24,1152,500,1,1.609689e-02,3.106189e+04,3.578330e+07,2
strain,strain-honeycomb-local,24,1152,500,2,1.617970e-02,3.090292e+04,3.560017e+07,2
lattice,heisenberg-honeycomb-su2,32,2048,4000,0,6.524304e-02,6.130922e+04,1.255613e+08,4
lattice,heisenberg-honeycomb-su2,32,2048,4000,1,6.948212e-02,5.756877e+04,1.179008e+08,4
lattice,heisenberg-honeycomb-su2,32,2048,4000,2,5.724113e-02,6.987983e+04,1.431139e+08,4
lattice,kitaev-honeycomb-su2,32,2048,4000,0,5.586331e-02,7.160334e+04,1.466437e+08,4
lattice,kitaev-honeycomb-su2,32,2048,4000,1,5.879861e-02,6.802882e+04,1.393230e+08,4
lattice,kitaev-honeycomb-su2,32,2048,4000,2,5.594718e-02,7.149601e+04,1.464238e+08,4
mixed,tmfeo3-bilinear,4,512,1500,0,1.708863e-01,8.777764e+03,4.494215e+06,4
mixed,tmfeo3-bilinear,4,512,1500,1,1.389548e-01,1.079488e+04,5.526976e+06,4
mixed,tmfeo3-bilinear,4,512,1500,2,1.627599e-01,9.216027e+03,4.718606e+06,4
mixed,tmfeo3-trilinear,4,512,300,0,3.363885e-02,8.918259e+03,4.566149e+06,4
mixed,tmfeo3-trilinear,4,512,300,1,3.380299e-02,8.874955e+03,4.543977e+06,4
mixed,tmfeo3-trilinear,4,512,300,2,5.073558e-02,5.913011e+03,3.027461e+06,4
mixed,tmfeo3-driven,4,512,1500,0,1.437484e-01,1.043490e+04,5.342669e+06,4
